title,url
Quadruped Hip Slides,https://www.youtube.com/watch?v=Wd1P8qBUZAM
Flutter Kicks,https://www.youtube.com/watch?v=ryqK90kIoLw
Scissor Flutters,https://www.youtube.com/watch?v=AhAUycroMVM
Flutters,https://www.youtube.com/watch?v=_8tG9Y9Z6u8
DB Wrist Flexion & Extensions,https://www.youtube.com/watch?v=x5ilTobgj80
DB Wrist ER / IR,https://www.youtube.com/watch?v=M9Pj8ha7uCI
Sl Hop To Lateral Hop With Mat,https://www.youtube.com/watch?v=U4lRPnlvBK0
Sl hop to mat alternating,https://www.youtube.com/watch?v=07PZ0tAcypE
Plate Grip Walks,https://www.youtube.com/watch?v=oKtdWNQzAW4
Assisted SL MB Slams,https://www.youtube.com/watch?v=4WNWGyOL3gY
Banded Clap Pushups,https://www.youtube.com/watch?v=T-5z33pJD68
Barbell Catches,https://www.youtube.com/watch?v=pHaeH_UDSXA
Lateral Bounds,https://www.youtube.com/watch?v=8IcgdSicZlo
Explosive Pushup From Box,https://www.youtube.com/watch?v=l7HKcloRE58
Explosive Pushup Claps From Box,https://www.youtube.com/watch?v=xUErCSyMuJA
HIP IR With KB Holds,https://www.youtube.com/watch?v=wFy2xT0plZI
Split Stance Jumps,https://www.youtube.com/watch?v=2kZMtdOR0NQ
Water Bag Swings,https://www.youtube.com/watch?v=RrPpqiQ8zEw
Water Bag Lunge With Twist,https://www.youtube.com/watch?v=riJp1RFGUiA
KB SL Lateral Lunge With Slider,https://www.youtube.com/watch?v=1iFPgK98kPA
Lateral Lunge With Landmine,https://www.youtube.com/watch?v=Qs2o9JkaQ9A
SA Landmine Pull To Press,https://www.youtube.com/watch?v=hpVza5QMyZU
SL Landmine RDL Holds,https://www.youtube.com/watch?v=k8kgBlQH370
SL Landmine RDL,https://www.youtube.com/watch?v=ZGXs9mKTWyY
Banded Alternating Bicep Curls,https://www.youtube.com/watch?v=r42ntppAX-4
DB Overhand Curls,https://www.youtube.com/watch?v=71qVF22Hddw
DB Hammer Curls,https://www.youtube.com/watch?v=ESj6wvb-qyk
Cable Bicep Curl,https://www.youtube.com/watch?v=WmaxT1BUfJg
Push Up Plate Pull Throughs,https://www.youtube.com/watch?v=_wuIFSXqVN8
Side Plank Cable Pulls,https://www.youtube.com/watch?v=CtqIpJX-jao
One Knee Lateral Lean,https://www.youtube.com/watch?v=3lSaPFXIHE0
SL Weighted Knee Tuck,https://www.youtube.com/watch?v=FM9JbYP4zKw
SSB Bar Cross Arm Grip Squat,https://www.youtube.com/watch?v=U0sGrDlgCdg
SSB Bar Zombie Grip Squat,https://www.youtube.com/watch?v=TtARFkGGll0
SSB Bar Clean Grip Squat,https://www.youtube.com/watch?v=_bcRssC80Mg
Y Wall Slide,https://www.youtube.com/watch?v=Tn1matbVpbU
SL Hurdle Jumps,https://www.youtube.com/watch?v=wHqbsYtlC24
Hurdle Jumps,https://www.youtube.com/watch?v=6hnegrubb3k
Lateral Lunge with Plate Push,https://www.youtube.com/watch?v=ql18x-ECXRs
SA DB Bench Lat Row,https://www.youtube.com/watch?v=zjjSdWLyot4
SA Bench Supported DB Curl,https://www.youtube.com/watch?v=O3eKgrFZLTI
Bench Supported DB Curl,https://www.youtube.com/watch?v=FfDw7XzLwGc
Band Supported Pull Up,https://www.youtube.com/watch?v=H_-GtIDNNsk
Band Supported Chin Up,https://www.youtube.com/watch?v=VBbuYSEvwos
SSB Supported Reverse Lunge,https://www.youtube.com/watch?v=6A09z2Jv63o
L-Sit,https://www.youtube.com/watch?v=MUpd2nUjDog
Skater Jump to Box Jump,https://www.youtube.com/watch?v=pKylDPcebEE
Bench Supported Shoulder Lift Offs,https://www.youtube.com/watch?v=56_03Vbuqoc
Medicine Ball T-Spine CAR,https://www.youtube.com/watch?v=4Wcnoahu79g
Seated Broad Jump,https://www.youtube.com/watch?v=dW3nVjzozkg
Front Foot Elevated Split Squat Hold,https://www.youtube.com/watch?v=NsbGSLJKpTQ
Weighted Front Foot Elevated Split Squat Hold,https://www.youtube.com/watch?v=AZwDiOwp49g
Quad Foam Roll,https://www.youtube.com/watch?v=TFSWZu7bpgg
TRX Bridges,https://www.youtube.com/watch?v=TzoOmNDtngk
Cable Shoulder Rolls,https://www.youtube.com/watch?v=4AKe2Xz3Ji0
Three Way Ab Roller,https://www.youtube.com/watch?v=2egjo3Zbii4
Windmill Stretch with Foam Roller,https://www.youtube.com/watch?v=wUc-V64oSnE
Sled Walk,https://www.youtube.com/watch?v=21Jy4mXJVc0
Sled Walk,https://www.youtube.com/watch?v=0bEBMxXRvpg
Sled Sprints,https://www.youtube.com/watch?v=13msPgWZ0r8
Backwards Sled Walk,https://www.youtube.com/watch?v=HEzFW71WcOI
Y Sled Walk,https://www.youtube.com/watch?v=nlr1QS4K-cI
Y Backwards Sled Walk,https://www.youtube.com/watch?v=KMud7CTTgWU
OH Pull Sled Walks,https://www.youtube.com/watch?v=M0CHCdXBqeQ
Y Pull Backwards Sled Walk,https://www.youtube.com/watch?v=Wwo2N60NNBM
Weight Push Sled Walk,https://www.youtube.com/watch?v=TomJd3yhIVU
T Hold Backwards Sled Walk,https://www.youtube.com/watch?v=HgkQ7bRhzRs
Between Leg Sled Walk,https://www.youtube.com/watch?v=fBinDzsYTMQ
Medicine Ball Hold Sled Walk,https://www.youtube.com/watch?v=NcpyBJquXZU
KB Waiter Walk Sled Walk,https://www.youtube.com/watch?v=Fn4yfjiX1CU
Side Lying ER IR Shoulder Rotations,https://www.youtube.com/watch?v=QYNlhXEI8l0
Side Lying ER IR Shoulder Rotations,https://www.youtube.com/watch?v=QYNlhXEI8l0
DB Step Into Box Jumps,https://www.youtube.com/watch?v=USUCiMuUPtQ
Belt Squat,https://www.youtube.com/watch?v=lB6uYvlRaVs
Belt Squat Marches,https://www.youtube.com/watch?v=Tr-RfqI9qsk
Bench Supported DB Row,https://www.youtube.com/watch?v=acz2232xq-U
Bench Supported SA DB Row,https://www.youtube.com/watch?v=iL4eIoogYvc
DB Step Ups,https://www.youtube.com/watch?v=KExxTPKs0v4
Bow Bar Box Squat,https://www.youtube.com/watch?v=vu-KJqB1kT8
Bow Bar Sumo Box Squat,https://www.youtube.com/watch?v=pfIILpjKhgc
Bow Bar Good Morning,https://www.youtube.com/watch?v=ia78QfRqFeE
BB Squat,https://www.youtube.com/watch?v=jW1CPvulxhU
Side Lying Crunches,https://www.youtube.com/watch?v=vY9XzBlNPGo
SA DB Bench Press,https://www.youtube.com/watch?v=hHs_qMPfkaU
